carrier,flight,origin,dest,name
UA,1163,EWR,SNA,United Air Lines Inc.
UA,1110,EWR,BOS,United Air Lines Inc.
9E,4245,JFK,CHS,Endeavor Air Inc.
MQ,4525,LGA,XNA,Envoy Air
HA,51,JFK,HNL,Hawaiian Airlines Inc.
DL,1619,LGA,MSP,Delta Air Lines Inc.
MQ,4579,LGA,CLT,Envoy Air
B6,527,EWR,MCO,JetBlue Airways
B6,201,JFK,FLL,JetBlue Airways
B6,108,JFK,PWM,JetBlue Airways
AA,235,JFK,SEA,American Airlines Inc.
EV,4100,EWR,MEM,ExpressJet Airlines Inc.
EV,4376,EWR,XNA,ExpressJet Airlines Inc.
AA,119,EWR,LAX,American Airlines Inc.
WN,135,LGA,DEN,Southwest Airlines Co.
MQ,3374,JFK,RDU,Envoy Air
DL,1585,LGA,MCO,Delta Air Lines Inc.
UA,1482,EWR,PHX,United Air Lines Inc.
UA,1597,EWR,EGE,United Air Lines Inc.
AA,1949,JFK,LAS,American Airlines Inc.
US,2173,LGA,DCA,US Airways Inc.
B6,56,JFK,BTV,JetBlue Airways
UA,1606,EWR,SFO,United Air Lines Inc.
WN,254,LGA,MDW,Southwest Airlines Co.
B6,1338,JFK,MVY,JetBlue Airways
US,2189,LGA,DCA,US Airways Inc.
AA,721,LGA,DFW,American Airlines Inc.
9E,3459,JFK,BNA,Endeavor Air Inc.
EV,4412,EWR,DSM,ExpressJet Airlines Inc.
FL,345,LGA,ATL,AirTran Airways Corporation
MQ,3565,LGA,CLT,Envoy Air
MQ,3737,EWR,ORD,Envoy Air
DL,141,JFK,FLL,Delta Air Lines Inc.
UA,1627,EWR,PBI,United Air Lines Inc.
DL,1518,EWR,DTW,Delta Air Lines Inc.
UA,1110,EWR,LAS,United Air Lines Inc.
B6,153,JFK,PBI,JetBlue Airways
MQ,3355,LGA,BNA,Envoy Air
DL,413,JFK,MIA,Delta Air Lines Inc.
UA,751,EWR,BOS,United Air Lines Inc.
B6,1373,JFK,CHS,JetBlue Airways
VX,165,EWR,LAX,Virgin America
DL,2331,LGA,DTW,Delta Air Lines Inc.
UA,1682,EWR,DEN,United Air Lines Inc.
UA,1218,EWR,SEA,United Air Lines Inc.
DL,2319,LGA,MSP,Delta Air Lines Inc.
EV,5483,LGA,MEM,ExpressJet Airlines Inc.
B6,675,JFK,LAX,JetBlue Airways
DL,83,JFK,FLL,Delta Air Lines Inc.
UA,1244,EWR,SJU,United Air Lines Inc.
B6,201,JFK,FLL,JetBlue Airways
US,687,EWR,CLT,US Airways Inc.
FL,345,LGA,ATL,AirTran Airways Corporation
B6,515,EWR,FLL,JetBlue Airways
9E,3521,JFK,ORD,Endeavor Air Inc.
UA,387,EWR,LAX,United Air Lines Inc.
DL,1629,JFK,LAS,Delta Air Lines Inc.
UA,397,JFK,SFO,United Air Lines Inc.
DL,2042,EWR,ATL,Delta Air Lines Inc.
FL,623,LGA,ATL,AirTran Airways Corporation
AA,313,LGA,ORD,American Airlines Inc.
EV,4150,EWR,CVG,ExpressJet Airlines Inc.
AA,185,JFK,LAX,American Airlines Inc.
B6,2918,JFK,BOS,JetBlue Airways
MQ,3044,JFK,BWI,Envoy Air
DL,120,JFK,LAX,Delta Air Lines Inc.
AA,779,LGA,MIA,American Airlines Inc.
B6,507,EWR,FLL,JetBlue Airways
WN,1705,EWR,PHX,Southwest Airlines Co.
B6,527,EWR,MCO,JetBlue Airways
UA,1605,EWR,LAS,United Air Lines Inc.
UA,700,EWR,ORD,United Air Lines Inc.
9E,3721,LGA,BNA,Endeavor Air Inc.
UA,841,JFK,LAX,United Air Lines Inc.
AA,117,JFK,LAX,American Airlines Inc.
AA,363,LGA,ORD,American Airlines Inc.
DL,695,JFK,MCO,Delta Air Lines Inc.
US,409,EWR,CLT,US Airways Inc.
UA,1483,EWR,AUS,United Air Lines Inc.
EV,3827,EWR,MHT,ExpressJet Airlines Inc.
DL,1473,LGA,MEM,Delta Air Lines Inc.
DL,1433,JFK,MIA,Delta Air Lines Inc.
MQ,3466,LGA,RDU,Envoy Air
EV,4297,EWR,DTW,ExpressJet Airlines Inc.
B6,63,JFK,TPA,JetBlue Airways
UA,246,EWR,DFW,United Air Lines Inc.
B6,209,JFK,LGB,JetBlue Airways
WN,1705,EWR,PHX,Southwest Airlines Co.
UA,775,EWR,ORD,United Air Lines Inc.
EV,5268,LGA,CLT,ExpressJet Airlines Inc.
UA,1492,EWR,ORD,United Air Lines Inc.
MQ,3697,EWR,ORD,Envoy Air
AA,1850,JFK,BOS,American Airlines Inc.
AA,753,LGA,DFW,American Airlines Inc.
DL,1863,JFK,SAT,Delta Air Lines Inc.
VX,23,JFK,SFO,Virgin America
MQ,4401,LGA,DTW,Envoy Air
MQ,3669,LGA,ATL,Envoy Air
UA,1637,EWR,TPA,United Air Lines Inc.
UA,1034,EWR,IAH,United Air Lines Inc.
DL,2319,LGA,MSP,Delta Air Lines Inc.
US,1085,LGA,CLT,US Airways Inc.
AA,303,LGA,ORD,American Airlines Inc.
B6,453,JFK,PBI,JetBlue Airways
WN,1454,EWR,MSY,Southwest Airlines Co.
B6,647,JFK,SFO,JetBlue Airways
US,1607,LGA,PHL,US Airways Inc.
DL,309,EWR,DTW,Delta Air Lines Inc.
EV,4679,EWR,JAX,ExpressJet Airlines Inc.
B6,2502,JFK,BUF,JetBlue Airways
B6,30,JFK,ROC,JetBlue Airways
B6,381,LGA,FLL,JetBlue Airways
MQ,3737,EWR,ORD,Envoy Air
AA,977,EWR,MIA,American Airlines Inc.
EV,4695,EWR,MHT,ExpressJet Airlines Inc.
UA,689,LGA,ORD,United Air Lines Inc.
UA,1028,EWR,DFW,United Air Lines Inc.
EV,5675,EWR,BTV,ExpressJet Airlines Inc.
DL,914,LGA,DEN,Delta Air Lines Inc.
EV,4381,EWR,DTW,ExpressJet Airlines Inc.
VX,23,JFK,SFO,Virgin America
B6,133,JFK,RSW,JetBlue Airways
MQ,3230,JFK,DCA,Envoy Air
US,1895,EWR,CLT,US Airways Inc.
UA,1526,EWR,LAX,United Air Lines Inc.
US,1657,JFK,CLT,US Airways Inc.
DL,2126,LGA,TPA,Delta Air Lines Inc.
WN,2870,LGA,DEN,Southwest Airlines Co.
B6,87,JFK,SLC,JetBlue Airways
B6,415,JFK,SFO,JetBlue Airways
UA,443,JFK,LAX,United Air Lines Inc.
UA,303,JFK,SFO,United Air Lines Inc.
DL,1773,JFK,SLC,Delta Air Lines Inc.
EV,4580,EWR,MKE,ExpressJet Airlines Inc.
VX,411,JFK,LAX,Virgin America
US,2144,LGA,BOS,US Airways Inc.
AA,711,LGA,DFW,American Airlines Inc.
DL,2395,LGA,PBI,Delta Air Lines Inc.
DL,914,LGA,DEN,Delta Air Lines Inc.
B6,1639,LGA,RSW,JetBlue Airways
MQ,4626,LGA,CMH,Envoy Air
EV,4245,EWR,BTV,ExpressJet Airlines Inc.
EV,5274,LGA,BNA,ExpressJet Airlines Inc.
B6,127,EWR,MCO,JetBlue Airways
B6,315,JFK,FLL,JetBlue Airways
US,2128,LGA,BOS,US Airways Inc.
UA,687,LGA,ORD,United Air Lines Inc.
UA,1270,EWR,MCO,United Air Lines Inc.
B6,12,JFK,SYR,JetBlue Airways
EV,4440,EWR,IND,ExpressJet Airlines Inc.
EV,4995,LGA,MCI,ExpressJet Airlines Inc.
B6,213,JFK,LGB,JetBlue Airways
WN,1983,EWR,AUS,Southwest Airlines Co.
AA,303,LGA,ORD,American Airlines Inc.
EV,5273,LGA,PIT,ExpressJet Airlines Inc.
EV,4316,EWR,BWI,ExpressJet Airlines Inc.
AA,2223,LGA,STL,American Airlines Inc.
MQ,4429,LGA,CMH,Envoy Air
9E,3405,JFK,DCA,Endeavor Air Inc.
MQ,3433,JFK,DCA,Envoy Air
DL,1031,LGA,DTW,Delta Air Lines Inc.
B6,927,EWR,MCO,JetBlue Airways
AA,759,LGA,DFW,American Airlines Inc.
UA,772,EWR,MIA,United Air Lines Inc.
UA,1216,EWR,SJU,United Air Lines Inc.
9E,4065,LGA,SDF,Endeavor Air Inc.
B6,389,LGA,MCO,JetBlue Airways
WN,168,LGA,MDW,Southwest Airlines Co.
B6,1407,JFK,IAD,JetBlue Airways
UA,1416,EWR,IAH,United Air Lines Inc.
EV,3817,EWR,ATL,ExpressJet Airlines Inc.
US,2085,LGA,CLT,US Airways Inc.
MQ,3075,JFK,CVG,Envoy Air
EV,4086,EWR,PWM,ExpressJet Airlines Inc.
DL,1167,JFK,TPA,Delta Air Lines Inc.
EV,4175,EWR,CLT,ExpressJet Airlines Inc.
EV,4233,EWR,BTV,ExpressJet Airlines Inc.
UA,506,EWR,LAX,United Air Lines Inc.
B6,234,JFK,BTV,JetBlue Airways
UA,397,JFK,SFO,United Air Lines Inc.
UA,329,EWR,SFO,United Air Lines Inc.
EV,4434,EWR,MCI,ExpressJet Airlines Inc.
FL,623,LGA,ATL,AirTran Airways Corporation
US,297,JFK,CLT,US Airways Inc.
UA,1539,EWR,SFO,United Air Lines Inc.
B6,219,JFK,CLT,JetBlue Airways
AA,1901,JFK,IAH,American Airlines Inc.
UA,561,LGA,DEN,United Air Lines Inc.
WN,1146,EWR,DEN,Southwest Airlines Co.
MQ,4479,LGA,RDU,Envoy Air
AA,1151,LGA,DFW,American Airlines Inc.
AA,1762,JFK,BOS,American Airlines Inc.
AA,1410,LGA,MIA,American Airlines Inc.
EV,4125,EWR,GSO,ExpressJet Airlines Inc.
AA,33,JFK,LAX,American Airlines Inc.
DL,1643,JFK,SEA,Delta Air Lines Inc.
DL,1131,LGA,DTW,Delta Air Lines Inc.
AA,178,JFK,BOS,American Airlines Inc.
EV,4093,EWR,ALB,ExpressJet Airlines Inc.
9E,3341,EWR,DTW,Endeavor Air Inc.
AA,443,JFK,MIA,American Airlines Inc.
EV,4368,EWR,DAY,ExpressJet Airlines Inc.
B6,423,JFK,LAX,JetBlue Airways
EV,4631,EWR,BDL,ExpressJet Airlines Inc.
B6,61,JFK,FLL,JetBlue Airways
B6,1185,JFK,RDU,JetBlue Airways
9E,3367,JFK,CVG,Endeavor Air Inc.
WN,1,LGA,MDW,Southwest Airlines Co.
DL,2119,LGA,MSP,Delta Air Lines Inc.
AA,1853,EWR,DFW,American Airlines Inc.
UA,506,EWR,LAX,United Air Lines Inc.
B6,89,JFK,SAN,JetBlue Airways
9E,2940,JFK,BWI,Endeavor Air Inc.
MQ,3359,JFK,RDU,Envoy Air
UA,841,JFK,LAX,United Air Lines Inc.
AA,1131,LGA,DFW,American Airlines Inc.
B6,925,JFK,TPA,JetBlue Airways
UA,1030,EWR,ORD,United Air Lines Inc.
UA,1734,EWR,ORD,United Air Lines Inc.
9E,3523,JFK,ORD,Endeavor Air Inc.
US,2071,LGA,CLT,US Airways Inc.
UA,1740,EWR,ORD,United Air Lines Inc.
US,2185,LGA,DCA,US Airways Inc.
B6,20,JFK,ROC,JetBlue Airways
9E,3879,EWR,CVG,Endeavor Air Inc.
9E,3335,EWR,CVG,Endeavor Air Inc.
B6,927,EWR,MCO,JetBlue Airways
AA,2267,LGA,MIA,American Airlines Inc.
UA,1177,EWR,DEN,United Air Lines Inc.
DL,2459,JFK,MCO,Delta Air Lines Inc.
B6,359,JFK,BUR,JetBlue Airways
DL,1421,LGA,RSW,Delta Air Lines Inc.
EV,6055,LGA,IAD,ExpressJet Airlines Inc.
B6,711,JFK,LAS,JetBlue Airways
B6,602,JFK,PWM,JetBlue Airways
B6,883,JFK,MCO,JetBlue Airways
B6,153,JFK,PBI,JetBlue Airways
B6,2502,JFK,BUF,JetBlue Airways
DL,2363,JFK,LAX,Delta Air Lines Inc.
UA,1241,EWR,TPA,United Air Lines Inc.
US,2171,LGA,DCA,US Airways Inc.
VX,11,JFK,SFO,Virgin America
DL,1174,LGA,PBI,Delta Air Lines Inc.
EV,4684,EWR,MCI,ExpressJet Airlines Inc.
AA,21,JFK,LAX,American Airlines Inc.
MQ,3547,LGA,XNA,Envoy Air
WN,993,LGA,MDW,Southwest Airlines Co.
US,720,EWR,CLT,US Airways Inc.
UA,1298,EWR,CLE,United Air Lines Inc.
B6,507,EWR,FLL,JetBlue Airways
DL,347,JFK,SJU,Delta Air Lines Inc.
9E,3525,LGA,SYR,Endeavor Air Inc.
B6,141,JFK,PBI,JetBlue Airways
UA,1259,LGA,IAH,United Air Lines Inc.
EV,5837,EWR,RIC,ExpressJet Airlines Inc.
FL,346,LGA,ATL,AirTran Airways Corporation
AA,257,JFK,LAS,American Airlines Inc.
MQ,3697,EWR,ORD,Envoy Air
B6,36,JFK,ROC,JetBlue Airways
MQ,3718,EWR,ORD,Envoy Air
B6,2702,JFK,BUF,JetBlue Airways
VX,411,JFK,LAX,Virgin America
US,1711,LGA,CLT,US Airways Inc.
MQ,3493,LGA,CLE,Envoy Air
B6,1013,JFK,LGB,JetBlue Airways
MQ,2876,LGA,STL,Envoy Air
B6,527,EWR,MCO,JetBlue Airways
EV,4510,EWR,MKE,ExpressJet Airlines Inc.
B6,89,JFK,SAN,JetBlue Airways
AA,1623,EWR,MIA,American Airlines Inc.
US,2095,EWR,CLT,US Airways Inc.
HA,51,JFK,HNL,Hawaiian Airlines Inc.
DL,1779,LGA,FLL,Delta Air Lines Inc.
B6,15,JFK,FLL,JetBlue Airways
FL,345,LGA,ATL,AirTran Airways Corporation
DL,1585,LGA,MCO,Delta Air Lines Inc.
DL,1875,LGA,TPA,Delta Air Lines Inc.
B6,415,JFK,SFO,JetBlue Airways
EV,3830,EWR,RIC,ExpressJet Airlines Inc.
DL,503,JFK,SAN,Delta Air Lines Inc.
UA,1591,EWR,IAH,United Air Lines Inc.
UA,1246,EWR,SFO,United Air Lines Inc.
EV,5713,LGA,IAD,ExpressJet Airlines Inc.
WN,565,EWR,MDW,Southwest Airlines Co.
EV,4471,EWR,CLT,ExpressJet Airlines Inc.
EV,5769,LGA,IAD,ExpressJet Airlines Inc.
WN,3421,LGA,BNA,Southwest Airlines Co.
MQ,3351,LGA,DTW,Envoy Air
B6,30,JFK,ROC,JetBlue Airways
MQ,4660,LGA,BNA,Envoy Air
B6,161,JFK,SMF,JetBlue Airways
UA,1151,EWR,SEA,United Air Lines Inc.
B6,167,JFK,OAK,JetBlue Airways
UA,497,EWR,PBI,United Air Lines Inc.
EV,5486,LGA,PIT,ExpressJet Airlines Inc.
EV,3846,EWR,IND,ExpressJet Airlines Inc.
MQ,2963,JFK,CVG,Envoy Air
UA,1162,EWR,ORD,United Air Lines Inc.
UA,884,EWR,SFO,United Air Lines Inc.
DL,863,JFK,LAX,Delta Air Lines Inc.
US,1979,EWR,CLT,US Airways Inc.
DL,2065,JFK,SFO,Delta Air Lines Inc.
B6,518,JFK,BOS,JetBlue Airways
B6,2702,JFK,BUF,JetBlue Airways
UA,1125,JFK,LAX,United Air Lines Inc.
WN,4215,EWR,MDW,Southwest Airlines Co.
UA,1215,EWR,FLL,United Air Lines Inc.
EV,4118,EWR,DTW,ExpressJet Airlines Inc.
UA,273,EWR,PBI,United Air Lines Inc.
US,2191,LGA,DCA,US Airways Inc.
AA,335,LGA,ORD,American Airlines Inc.
UA,1163,EWR,SNA,United Air Lines Inc.
EV,4201,EWR,IAD,ExpressJet Airlines Inc.
DL,120,JFK,LAX,Delta Air Lines Inc.
DL,1885,LGA,MCO,Delta Air Lines Inc.
UA,311,LGA,DEN,United Air Lines Inc.
UA,244,EWR,ORD,United Air Lines Inc.
B6,1307,JFK,IAD,JetBlue Airways
AA,1635,JFK,SJU,American Airlines Inc.
B6,1203,JFK,SJU,JetBlue Airways
EV,4700,EWR,CLT,ExpressJet Airlines Inc.
UA,1526,EWR,LAX,United Air Lines Inc.
US,2193,LGA,DCA,US Airways Inc.
AA,1635,JFK,SJU,American Airlines Inc.
UA,550,LGA,ORD,United Air Lines Inc.
UA,1108,EWR,IAH,United Air Lines Inc.
B6,727,JFK,BQN,JetBlue Airways
9E,2916,JFK,DTW,Endeavor Air Inc.
VX,11,JFK,SFO,Virgin America
UA,1668,EWR,SFO,United Air Lines Inc.
B6,87,JFK,SLC,JetBlue Airways
EV,4533,EWR,BUF,ExpressJet Airlines Inc.
9E,3540,JFK,MSP,Endeavor Air Inc.
EV,5592,LGA,MEM,ExpressJet Airlines Inc.
DL,2115,LGA,MIA,Delta Air Lines Inc.
B6,87,JFK,SLC,JetBlue Airways
DL,545,LGA,OMA,Delta Air Lines Inc.
B6,615,JFK,JAX,JetBlue Airways
UA,841,JFK,LAX,United Air Lines Inc.
MQ,3416,LGA,RDU,Envoy Air
AA,327,LGA,ORD,American Airlines Inc.
AA,745,LGA,DFW,American Airlines Inc.
9E,3440,JFK,RDU,Endeavor Air Inc.
UA,709,EWR,DFW,United Air Lines Inc.
DL,27,JFK,ATL,Delta Air Lines Inc.
UA,1139,EWR,LAX,United Air Lines Inc.
EV,4536,EWR,CVG,ExpressJet Airlines Inc.
DL,2391,JFK,TPA,Delta Air Lines Inc.
UA,600,EWR,CLE,United Air Lines Inc.
DL,1147,LGA,ATL,Delta Air Lines Inc.
UA,1053,EWR,CLE,United Air Lines Inc.
EV,4111,EWR,CHS,ExpressJet Airlines Inc.
AA,1263,JFK,LAS,American Airlines Inc.
B6,515,EWR,FLL,JetBlue Airways
AA,1750,JFK,BOS,American Airlines Inc.
DL,673,EWR,ATL,Delta Air Lines Inc.
EV,4598,EWR,IND,ExpressJet Airlines Inc.
EV,3830,EWR,RIC,ExpressJet Airlines Inc.
UA,1292,EWR,FLL,United Air Lines Inc.
MQ,4540,LGA,DTW,Envoy Air
WN,644,EWR,MDW,Southwest Airlines Co.
UA,1022,EWR,LAX,United Air Lines Inc.
FL,721,LGA,CAK,AirTran Airways Corporation
9E,3320,JFK,BUF,Endeavor Air Inc.
UA,1526,EWR,LAX,United Air Lines Inc.
B6,1639,LGA,RSW,JetBlue Airways
AA,2223,LGA,STL,American Airlines Inc.
AA,117,JFK,LAX,American Airlines Inc.
UA,397,JFK,SFO,United Air Lines Inc.
B6,1069,JFK,AUS,JetBlue Airways
UA,287,EWR,AUS,United Air Lines Inc.
DL,161,JFK,MIA,Delta Air Lines Inc.
UA,772,EWR,ORD,United Air Lines Inc.
VX,11,JFK,SFO,Virgin America
9E,2931,JFK,PIT,Endeavor Air Inc.
US,1427,JFK,CLT,US Airways Inc.
WN,1362,LGA,MDW,Southwest Airlines Co.
9E,4183,JFK,RDU,Endeavor Air Inc.
UA,339,EWR,BOS,United Air Lines Inc.
VX,399,JFK,LAX,Virgin America
B6,127,EWR,MCO,JetBlue Airways
B6,9,JFK,MCO,JetBlue Airways
AA,1141,JFK,MIA,American Airlines Inc.
UA,1657,EWR,ORD,United Air Lines Inc.
B6,795,JFK,AUS,JetBlue Airways
US,2181,LGA,DCA,US Airways Inc.
B6,683,JFK,MCO,JetBlue Airways
US,2173,LGA,DCA,US Airways Inc.
B6,347,JFK,SRQ,JetBlue Airways
US,2173,LGA,DCA,US Airways Inc.
EV,4638,EWR,CVG,ExpressJet Airlines Inc.
US,2189,LGA,DCA,US Airways Inc.
EV,4407,EWR,OMA,ExpressJet Airlines Inc.
B6,185,JFK,SAN,JetBlue Airways
MQ,3760,EWR,ORD,Envoy Air
VX,413,JFK,LAX,Virgin America
US,1802,JFK,CLT,US Airways Inc.
WN,1265,EWR,STL,Southwest Airlines Co.
DL,2285,LGA,MCO,Delta Air Lines Inc.
MQ,3388,LGA,CMH,Envoy Air
EV,3827,EWR,MHT,ExpressJet Airlines Inc.
MQ,3674,LGA,CLE,Envoy Air
EV,5299,LGA,MEM,ExpressJet Airlines Inc.
WN,226,EWR,DEN,Southwest Airlines Co.
WN,2497,LGA,DEN,Southwest Airlines Co.
DL,763,JFK,LAX,Delta Air Lines Inc.
EV,4120,EWR,BUF,ExpressJet Airlines Inc.
UA,751,EWR,BOS,United Air Lines Inc.
UA,15,EWR,HNL,United Air Lines Inc.
9E,3403,JFK,MCI,Endeavor Air Inc.
B6,839,JFK,BQN,JetBlue Airways
DL,857,JFK,SAN,Delta Air Lines Inc.
US,688,EWR,PHX,US Airways Inc.
UA,1130,EWR,MCO,United Air Lines Inc.
9E,3375,JFK,SAT,Endeavor Air Inc.
AA,257,JFK,LAS,American Airlines Inc.
UA,408,EWR,MCO,United Air Lines Inc.
AA,305,LGA,ORD,American Airlines Inc.
B6,686,JFK,ROC,JetBlue Airways
B6,215,EWR,SJU,JetBlue Airways
DL,2047,LGA,ATL,Delta Air Lines Inc.
WN,216,EWR,MDW,Southwest Airlines Co.
UA,1075,EWR,SNA,United Air Lines Inc.
AA,119,EWR,LAX,American Airlines Inc.
UA,1714,LGA,IAH,United Air Lines Inc.
US,2175,LGA,DCA,US Airways Inc.
MQ,4406,JFK,RDU,Envoy Air
DL,1163,JFK,LAX,Delta Air Lines Inc.
MQ,3202,JFK,IND,Envoy Air
MQ,3359,JFK,RDU,Envoy Air
DL,2190,JFK,MIA,Delta Air Lines Inc.
UA,561,LGA,DEN,United Air Lines Inc.
EV,4583,EWR,MHT,ExpressJet Airlines Inc.
DL,2383,LGA,PWM,Delta Air Lines Inc.
UA,1526,EWR,LAX,United Air Lines Inc.
B6,671,JFK,LAX,JetBlue Airways
US,1895,EWR,CLT,US Airways Inc.
WN,1498,EWR,HOU,Southwest Airlines Co.
MQ,3419,LGA,ATL,Envoy Air
DL,706,JFK,AUS,Delta Air Lines Inc.
EV,5752,LGA,IAD,ExpressJet Airlines Inc.
9E,4027,EWR,CVG,Endeavor Air Inc.
DL,2285,LGA,MCO,Delta Air Lines Inc.
DL,1435,LGA,TPA,Delta Air Lines Inc.
DL,1689,EWR,DTW,Delta Air Lines Inc.
MQ,4534,LGA,XNA,Envoy Air
9E,3316,JFK,IND,Endeavor Air Inc.
9E,3542,JFK,MSP,Endeavor Air Inc.
UA,277,LGA,ORD,United Air Lines Inc.
WN,1751,EWR,PHX,Southwest Airlines Co.
UA,531,EWR,BOS,United Air Lines Inc.
DL,2027,JFK,FLL,Delta Air Lines Inc.
FL,237,LGA,CAK,AirTran Airways Corporation
EV,5463,LGA,BNA,ExpressJet Airlines Inc.
DL,1271,JFK,FLL,Delta Air Lines Inc.
DL,17,JFK,LAX,Delta Air Lines Inc.
EV,4113,EWR,IND,ExpressJet Airlines Inc.
UA,623,EWR,SAN,United Air Lines Inc.
AA,269,JFK,SEA,American Airlines Inc.
B6,167,JFK,OAK,JetBlue Airways
B6,1013,JFK,LGB,JetBlue Airways
DL,1529,JFK,LAS,Delta Air Lines Inc.
AA,2279,LGA,MIA,American Airlines Inc.
UA,1425,EWR,LAX,United Air Lines Inc.
AA,1131,LGA,DFW,American Airlines Inc.
DL,1394,JFK,PDX,Delta Air Lines Inc.
EV,3823,EWR,MSN,ExpressJet Airlines Inc.
WN,366,LGA,STL,Southwest Airlines Co.
EV,4133,EWR,PVD,ExpressJet Airlines Inc.
EV,4125,EWR,RDU,ExpressJet Airlines Inc.
9E,3285,JFK,DTW,Endeavor Air Inc.
B6,453,JFK,PBI,JetBlue Airways
B6,53,JFK,PBI,JetBlue Airways
WN,4103,EWR,PHX,Southwest Airlines Co.
US,931,JFK,CLT,US Airways Inc.
B6,2380,EWR,BOS,JetBlue Airways
DL,120,JFK,LAX,Delta Air Lines Inc.
B6,581,JFK,HOU,JetBlue Airways
EV,4471,EWR,CLT,ExpressJet Airlines Inc.
WN,381,LGA,MKE,Southwest Airlines Co.
UA,743,EWR,LAX,United Air Lines Inc.
US,623,JFK,PHX,US Airways Inc.
US,2130,LGA,BOS,US Airways Inc.
EV,4187,EWR,BNA,ExpressJet Airlines Inc.
9E,2914,JFK,DCA,Endeavor Air Inc.
UA,695,LGA,ORD,United Air Lines Inc.
EV,4162,EWR,BTV,ExpressJet Airlines Inc.
US,1703,LGA,CLT,US Airways Inc.
DL,1006,JFK,BOS,Delta Air Lines Inc.
MQ,3231,JFK,PIT,Envoy Air
UA,310,EWR,SFO,United Air Lines Inc.
AA,1769,JFK,MIA,American Airlines Inc.
UA,390,EWR,MSY,United Air Lines Inc.
B6,1185,JFK,RDU,JetBlue Airways
VX,193,EWR,SFO,Virgin America
DL,1847,LGA,ATL,Delta Air Lines Inc.
UA,652,EWR,BOS,United Air Lines Inc.
US,2156,LGA,BOS,US Airways Inc.
9E,3953,EWR,CVG,Endeavor Air Inc.
MQ,3478,LGA,DTW,Envoy Air
EV,4166,EWR,GSP,ExpressJet Airlines Inc.
B6,116,JFK,SYR,JetBlue Airways
UA,1232,EWR,IAH,United Air Lines Inc.
MQ,3486,LGA,BNA,Envoy Air
B6,8,JFK,BUF,JetBlue Airways
WN,2226,LGA,MDW,Southwest Airlines Co.
US,2179,LGA,DCA,US Airways Inc.
WN,3574,EWR,MDW,Southwest Airlines Co.
US,2122,LGA,BOS,US Airways Inc.
AA,85,JFK,SFO,American Airlines Inc.
B6,1295,JFK,AUS,JetBlue Airways
AA,313,LGA,ORD,American Airlines Inc.
MQ,4429,LGA,CMH,Envoy Air
UA,655,LGA,ORD,United Air Lines Inc.
FL,345,LGA,ATL,AirTran Airways Corporation
B6,15,JFK,FLL,JetBlue Airways
WN,818,EWR,STL,Southwest Airlines Co.
B6,703,JFK,SJU,JetBlue Airways
UA,207,EWR,SFO,United Air Lines Inc.
B6,905,JFK,ORD,JetBlue Airways
FL,348,LGA,ATL,AirTran Airways Corporation
DL,1499,LGA,ATL,Delta Air Lines Inc.
AS,15,EWR,SEA,Alaska Airlines Inc.
DL,673,EWR,ATL,Delta Air Lines Inc.
UA,1177,EWR,ORD,United Air Lines Inc.
AA,301,LGA,ORD,American Airlines Inc.
UA,1183,EWR,RSW,United Air Lines Inc.
EV,4375,EWR,MKE,ExpressJet Airlines Inc.
9E,4059,LGA,DAY,Endeavor Air Inc.
DL,1174,LGA,PBI,Delta Air Lines Inc.
DL,1247,LGA,ATL,Delta Air Lines Inc.
DL,2065,JFK,SFO,Delta Air Lines Inc.
9E,2922,JFK,MSP,Endeavor Air Inc.
MQ,4423,JFK,RDU,Envoy Air
WN,928,LGA,DEN,Southwest Airlines Co.
B6,675,JFK,LAX,JetBlue Airways
B6,1373,JFK,CHS,JetBlue Airways
EV,5311,LGA,BGR,ExpressJet Airlines Inc.
US,2118,LGA,BOS,US Airways Inc.
9E,3367,JFK,CVG,Endeavor Air Inc.
EV,4495,EWR,SAV,ExpressJet Airlines Inc.
9E,3846,JFK,ORF,Endeavor Air Inc.
US,2177,LGA,DCA,US Airways Inc.
AA,1841,EWR,DFW,American Airlines Inc.
AA,359,LGA,ORD,American Airlines Inc.
US,2171,LGA,DCA,US Airways Inc.
MQ,4622,LGA,BNA,Envoy Air
AA,543,JFK,MIA,American Airlines Inc.
EV,4695,EWR,MHT,ExpressJet Airlines Inc.
DL,120,JFK,LAX,Delta Air Lines Inc.
DL,1743,JFK,ATL,Delta Air Lines Inc.
US,947,LGA,CLT,US Airways Inc.
UA,565,EWR,LAS,United Air Lines Inc.
EV,4297,EWR,DTW,ExpressJet Airlines Inc.
MQ,4617,LGA,RDU,Envoy Air
EV,4662,EWR,RDU,ExpressJet Airlines Inc.
AA,655,JFK,STT,American Airlines Inc.
US,1984,EWR,CLT,US Airways Inc.
DL,1902,LGA,PBI,Delta Air Lines Inc.
EV,4619,EWR,PHL,ExpressJet Airlines Inc.
DL,329,JFK,SJU,Delta Air Lines Inc.
UA,1152,EWR,PDX,United Air Lines Inc.
B6,119,JFK,MSY,JetBlue Airways
EV,5293,LGA,ORF,ExpressJet Airlines Inc.
UA,1001,EWR,ORD,United Air Lines Inc.
WN,382,LGA,MDW,Southwest Airlines Co.
B6,453,JFK,PBI,JetBlue Airways
AA,1327,LGA,PBI,American Airlines Inc.
DL,985,JFK,BOS,Delta Air Lines Inc.
B6,1403,JFK,SJU,JetBlue Airways
